Neighborhood,Neighborrhood_number,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Bar Buca,Italian Restaurant,43.706961,-79.394808
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Marigold Indian Bistro,Indian Restaurant,43.702880859375,-79.38800811767578
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Tabülè,Middle Eastern Restaurant,43.700931800454605,-79.39707754696065
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Kinton Ramen,Ramen Restaurant,43.70730228095368,-79.39585408898294
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Fresh,Vegetarian / Vegan Restaurant,43.707324410453595,-79.39564918411965
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Echo Sushi,Sushi Restaurant,43.701276209959566,-79.39719155389227
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,The Keg Steakhouse + Bar - Yonge + Eglinton,Restaurant,43.70570154444578,-79.39790489107128
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Zezafoun Syrian Cuisine,Syrian Restaurant,43.702667,-79.39712
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Lola Sushi,Sushi Restaurant,43.70190300051086,-79.39754478712398
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Zee Grill,Seafood Restaurant,43.70498511291793,-79.38847622354874
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Grano,Italian Restaurant,43.701711544450895,-79.39731784785127
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Coquine Restaurant,French Restaurant,43.70262346819862,-79.39742931913001
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Sushi Supreme,Sushi Restaurant,43.70056322248802,-79.39711818948349
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Sakae Sushi,Sushi Restaurant,43.70494407149989,-79.38870408604551
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Positano,Italian Restaurant,43.704558,-79.38863854
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Florentia Ristorante,Italian Restaurant,43.703594,-79.3879846
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,B.GOOD,Fast Food Restaurant,43.707127,-79.395801
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Il Sogno,Italian Restaurant,43.70051970377133,-79.39694414493479
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Zucca Trattoria,Italian Restaurant,43.70377712848633,-79.39782394178705
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,Boland's Open Kitchen,American Restaurant,43.70345770889594,-79.38821001837454
Mount Pleasant West ,104,43.70327679838961,-79.39353863543431,The Belsize Public House,New American Restaurant,43.702533638111404,-79.3877380008186
Victoria Village ,43,43.72707160122911,-79.32031556233697,The Frig,French Restaurant,43.72705130603407,-79.31741760908679
Scarborough Village ,139,43.735911676204054,-79.2139742963028,Halibut House Fish and Chips Inc.,Seafood Restaurant,43.737541,-79.217342
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Motimahal,Indian Restaurant,43.672174809921415,-79.32253200796698
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Lake Inez,Asian Restaurant,43.672520212121675,-79.32071230366756
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Lahore Tikka House,Pakistani Restaurant,43.67166839018913,-79.3247037631388
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Udupi Palace,Indian Restaurant,43.67247950462566,-79.32127455331215
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Maha's Fine Egyptian Cuisine,Egyptian Restaurant,43.671757955479535,-79.3284444246658
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Bombay Chowpatty,Indian Restaurant,43.67187525209221,-79.32411369274648
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Hakka Wow,Indian Chinese Restaurant,43.672282,-79.322126
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Occasions Restaurant,Restaurant,43.67320785674965,-79.31861239046192
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Haandi 2000,Indian Restaurant,43.67192914440453,-79.32366244535852
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Gautama,Indian Restaurant,43.67215025713003,-79.32287710601119
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Karma's Kitchen,Tibetan Restaurant,43.671905,-79.323117
