Neighborhood,Neighborhood_number,"Population, 2016",Population Change 2011-2016,Working Age (25-54 years),Latitude,Longitude
Moss Park ,73,20506,25.8,12530,43.656394370073556,-79.36192472526655
Mount Dennis ,115,13593,3.4,5930,43.68648359078712,-79.50280168734983
Mount Olive-Silverstone-Jamestown ,2,32954,0.5,13615,43.74852112943933,-79.58216892340145
Mount Pleasant East ,99,16775,5.0,7620,43.704431738660105,-79.38601188447248
Mount Pleasant West ,104,29658,3.7,17100,43.70327679838961,-79.39353863543431
New Toronto ,18,11463,5.2,5215,43.59196752752535,-79.51032827624891
Newtonbrook East ,50,16097,-2.0,6860,43.79131919508503,-79.40487085574267
Newtonbrook West ,36,23831,3.4,10410,43.78525314349881,-79.43368663243105
Niagara ,82,31180,46.6,23320,43.631735137534974,-79.4148734349127
North Riverdale ,68,11916,-2.3,5490,43.67110160293811,-79.35520781975721
North St.James Town ,74,18615,4.4,10350,43.66947479900789,-79.37453940745868
Oakridge ,121,13845,2.6,6050,43.7005074478165,-79.28072061894069
Oakwood Village ,107,21210,0.7,9535,43.68900077262903,-79.43807968753995
O'Connor-Parkview ,54,18675,2.0,7855,43.70536462410474,-79.31656214089301
Old East York ,58,9233,1.3,4035,43.69865482695245,-79.33599705649053
Palmerston-Little Italy ,80,13826,0.6,7845,43.65876742197174,-79.41801527160663
Parkwoods-Donalda ,45,34805,0.5,14780,43.75416723911037,-79.34078145458213
Pelmo Park-Humberlea ,23,10722,23.1,4645,43.7165268765155,-79.53159268266502
Playter Estates-Danforth ,67,7804,2.0,3725,43.6792605162829,-79.3564342505548
Pleasant View ,46,15818,-2.0,6470,43.78471865795086,-79.33571657492838
Princess-Rosethorn ,10,11051,-1.3,3825,43.65747975323696,-79.53982089924537
Regent Park ,72,10803,8.0,5575,43.660528067206805,-79.35802390590494
Rexdale-Kipling ,4,10529,0.4,4300,43.725827489403585,-79.56549165779131
Rockcliffe-Smythe ,111,22246,-0.1,9255,43.67575456986071,-79.49825838027688
Roncesvalles ,86,14974,-0.5,7990,43.64641805326529,-79.44044292428784
Rosedale-Moore Park ,98,20923,1.4,7925,43.68107016579614,-79.37668869598852
Rouge ,131,46496,1.3,18510,43.799981084776135,-79.15556167667813
Runnymede-Bloor West Village ,89,10070,4.5,4605,43.66020982086,-79.48833205858757
Rustic ,28,9941,-0.1,3615,43.71212056014136,-79.49727814212645
Scarborough Village ,139,16724,0.7,6685,43.735911676204054,-79.2139742963028
South Parkdale ,85,21849,2.8,12440,43.63582769983224,-79.45320618253805
South Riverdale ,70,27876,8.7,15025,43.63846744147246,-79.32950898037677
St.Andrew-Windfields ,40,17812,-0.8,6800,43.75786132892552,-79.37708337539367
Steeles ,116,24623,-1.6,9500,43.814135797424875,-79.32175162819078
Stonegate-Queensway ,16,25051,1.5,10660,43.63683685742047,-79.49604984108129
Tam O'Shanter-Sullivan ,118,27446,0.2,10675,43.779365032506405,-79.30664967937952
Taylor-Massey ,61,15683,0.6,7580,43.69605997066482,-79.29560639638136
The Beaches ,63,21567,2.1,9590,43.66830599298921,-79.29432659022096
Thistletown-Beaumond Heights ,3,10360,2.2,4160,43.73771927995128,-79.55838604220827
Thorncliffe Park ,55,21108,9.8,9020,43.70712352210105,-79.3482826810739
Trinity-Bellwoods ,81,16556,-1.5,9210,43.650591450868994,-79.41585710847977
